塔名,现代省份,现代城市,现代区县,辽代五京/道,辽代州府,辽代县,经度,纬度,LPSL编码,建造时期,塔类型,平面形状,层数,修建目的,环境类型
五十家子塔,内蒙古自治区,赤峰市,林西县,中京道,,,,,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-h-d[type=d1]-e[col=e1](e6-e9-e6/e9-e9/e18-e8-e10-e18)-f-k-k-c-g[num=5](e1-g12)-h-d[type=d1]-h-b-h-b-i,辽,密檐塔,8角形,13,风水镇物,田园
上京南塔,内蒙古自治区,赤峰市,巴林左旗,上京道,上京临潢府,,,,a-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-e[col=e1](e12-e9-e12/e6-e18-e18-e6/e18-e15-e18/e8-e10)(e12-e18-e9-e18-e12/e18-e15-e18/e9-e9/e12-e15-e11-e15-e12)-h-i,辽,密檐塔,8角形,7,供奉佛像,古城遗址
大明塔,内蒙古自治区,赤峰市,宁城县,中京道,中京大定府,,119.155269,41.569631,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-e[col=e3](e6-e9-e6/e9-e9/e10-e8-e10)-f-h-h-f-h-g[num=3](e1-g11)-h-i,,密檐塔,8角形,13,风水镇物,田园
静安寺塔,内蒙古自治区,赤峰市,元宝山区,中京道,,,,,a-b-h-c-b-h-c-b-e[col=e3](e14/e8)(e9/e10)-h-h-g[num=2](e1-g11)-i,辽,密檐塔,8角形,3,供奉佛像,一般旷野
觉山寺塔,山西省,大同市,灵丘县,南京道,蔚州,灵丘县,,,a-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-e[col=e1](e8)(e11)-f-h-j-d[type=d1]-g[num=3](e1-g12)-h-g[num=3](e1-g8)-i,,密檐塔,8角形,13,寺院标志,一般旷野
禅房寺塔,山西省,大同市,南郊区,西京道,,,,,a-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-e[col=e2]-c-d[type=d1]-e[col=e0]-c-d[type=d1]-e[col=e0](e8)(e11)-h-d[type=d1]-h-f-k-f-g[num=2](e1-g10)-f-h-j,辽,密檐塔,8角形,7,供奉佛像,古城遗址
华严塔,山西省,朔州市,怀仁市,西京道,西京大同府,怀仁县,112.987044,39.849769,a-b-h-b-h-b-h-b-h-b-h-b-h-b-d[type=d1]-e[col=e1](e8)(e11)-h-g[num=1](e1-g8)-h-i,辽,密檐塔,8角形,7,风水镇物,田园
东平房塔,辽宁省,朝阳市,龙城区,中京道,兴中府,,120.193386,41.442369,a-b-c-b-c-b-c-b-c-b-c-b-c-b-c-b-c-e[col=e1](e6-e5-e6/e8-e2-e8)-f-h-f-h-g[num=3](e1-g1)-h-i,辽,密檐塔,6角形,9,风水镇物,田园
八棱观塔,辽宁省,朝阳市,朝阳县,中京道,兴中府,,120.062792,41.382747,a-d[type=d1]-c-d[type=d1]-h-c-d[type=d1]-c-d[type=d1]-c-d[type=d1]-c-d[type=d1]-c-d[type=d1]-c-d[type=d1]-c-d[type=d1]-c-d[type=d1]-c-d[type=d1]-c-d[type=d1]-c-e[col=e1](e18-e10-e18/e6-e9-e6)-f-h-g[num=3](g4-g8)-h-b-g[num=3](g4-g9)-h-b-g[num=3](g4-g9)-i,辽圣宗,密檐塔,8角形,13,风水镇物,田园
十八里堡塔,辽宁省,朝阳市,朝阳县,中京道,榆州,,119.307161,41.225936,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e9-e6-e9-e6-e9/e18-e8-e10-e18)-f-i,辽太宗,密檐塔,8角形,7,寺院标志,水域周边
四官营子塔,辽宁省,朝阳市,凌源市,中京道,榆州,,119.412361,41.076953,a-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-e[col=e1](e1-e8)(e1-e11)-h-b-h-k-i,辽,密檐塔,6角形,5,风水镇物,田园
大城子塔,辽宁省,朝阳市,喀喇沁左翼蒙古族自治县,中京道,,,119.746106,41.124539,a-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-e[col=e1](e10-e8-e10)(e10-e10)-d[type=d1]-c-d[type=d1]-e[col=e1](e8)(e10-e10)-h-g[num=3](e1-g9)-d[type=d1]-k-i,唐,密檐塔,8角形,8,寺院标志,一般旷野
