塔名,source_status,现代省份,现代城市,现代区县,辽代五京/道,辽代州府,辽代县,经度,纬度,LPSL编码,建造时期,KG建造时期,始建年份,塔类型,平面形状,层数,建筑测量高度,保护级别,修建目的,环境类型,空间隶属,所属寺庙,描述,has_莲台,has_束腰,has_仿木作,has_铺作,has_券门,has_壶门,has_飞天,has_华盖,has_假窗,has_柱子,has_叠涩,has_斗拱,has_佛像,has_力士,has_龙柱,has_经幢柱,has_素面,has_地宫,has_平座,has_塔刹,has_修缮
五十家子塔,observed_structured_record,内蒙古自治区,赤峰市,林西县,中京道,大定府辖,,,,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-h-d[type=d1]-e[col=e1](e6-e9-e6/e9-e9/e18-e8-e10-e18)-f-k-k-c-g[num=5](e1-g12)-h-d[type=d1]-h-b-h-b-i,辽,辽代,1080s,密檐塔,8角形,13,28.0,省级文物保护单位,风水镇物,田园,单体,未知,五十家子塔为八角十三层密檐式砖塔，位于内蒙古赤峰市。,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
上京南塔,observed_structured_record,内蒙古自治区,赤峰市,巴林左旗,上京道,上京临潢府,,,,a-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-e[col=e1](e12-e9-e12/e6-e18-e18-e6/e18-e15-e18/e8-e10)(e12-e18-e9-e18-e12/e18-e15-e18/e9-e9/e12-e15-e11-e15-e12)-h-i,辽,辽代,918-1125,密檐塔,8角形,7,25.0,全国重点文物保护单位,供奉佛像,古城遗址,都城遗址,开教寺(推测),上京南塔为八角七层密檐式砖塔，位于辽上京遗址。塔身残损严重，但遗存有精美的佛像与天王雕刻。,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
大明塔,observed_structured_record,内蒙古自治区,赤峰市,宁城县,中京道,中京大定府,,119.155269,41.569631,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-e[col=e3](e6-e9-e6/e9-e9/e10-e8-e10)-f-h-h-f-h-g[num=3](e1-g11)-h-i,,辽兴宗重熙四年,1085,密檐塔,8角形,13,79.56,1961年第一批全国重点文物保护单位,风水镇物,田园,城内,大明寺,大明塔为砖木结合八角实心十三层密檐砖塔...位于内蒙古赤峰市宁城县天义镇南城村辽中京遗址内。,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,False
静安寺塔,observed_structured_record,内蒙古自治区,赤峰市,元宝山区,中京道,建州辖,,,,a-b-h-c-b-h-c-b-e[col=e3](e14/e8)(e9/e10)-h-h-g[num=2](e1-g11)-i,辽,辽代,1050s,密檐塔,8角形,3,12.0,省级文物保护单位,供奉佛像,一般旷野,单体,静安寺,静安寺塔为八角三层（残存）密檐式砖塔，位于赤峰市元宝山区静安寺。,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
觉山寺塔,observed_structured_record,山西省,大同市,灵丘县,南京道,蔚州,灵丘县,,,a-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-e[col=e1](e8)(e11)-f-h-j-d[type=d1]-g[num=3](e1-g12)-h-g[num=3](e1-g8)-i,,辽道宗大安五年,1089,密檐塔,8角形,13,43.5,全国重点文物保护单位,寺院标志,一般旷野,寺庙主塔,觉山寺,觉山寺塔为八角十三层密檐式砖塔，位于山西省灵丘县觉山寺。须弥座、斗栱及砖雕极为精细，保存完好。,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
禅房寺塔,observed_structured_record,山西省,大同市,南郊区,西京道,大同府,,,,a-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-e[col=e2]-c-d[type=d1]-e[col=e0]-c-d[type=d1]-e[col=e0](e8)(e11)-h-d[type=d1]-h-f-k-f-g[num=2](e1-g10)-f-h-j,辽,辽代,1090s,密檐塔,8角形,7,18.0,全国重点文物保护单位,供奉佛像,古城遗址,寺庙主塔,禅房寺,禅房寺塔为八角七层密檐式砖塔，位于大同市古城西南七峰山丈人峰顶。,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
华严塔,observed_structured_record,山西省,朔州市,怀仁市,西京道,西京大同府,怀仁县,112.987044,39.849769,a-b-h-b-h-b-h-b-h-b-h-b-h-b-d[type=d1]-e[col=e1](e8)(e11)-h-g[num=1](e1-g8)-h-i,辽,辽代,1050s,密檐塔,8角形,7,10.2,1996年被列为省级重点文物保护单位,风水镇物,田园,单体,"大明塔(同名异地,已毁)",华严塔（又称清凉山砖塔、魁星塔）为八角空心七层密檐砖塔...塔身共八面，南面设圆拱券门。,True,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
东平房塔,observed_structured_record,辽宁省,朝阳市,龙城区,中京道,兴中府,,120.193386,41.442369,a-b-c-b-c-b-c-b-c-b-c-b-c-b-c-b-c-e[col=e1](e6-e5-e6/e8-e2-e8)-f-h-f-h-g[num=3](e1-g1)-h-i,辽,辽或金,辽代,密檐塔,6角形,9,21.1,2013年第七批全国重点文物保护单位,风水镇物,田园,单体,平房寺(已毁),东平房塔为六角形空心九层密檐砖塔...2013年维修。,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True
八棱观塔,observed_structured_record,辽宁省,朝阳市,朝阳县,中京道,兴中府,,120.062792,41.382747,a-d[type=d1]-c-d[type=d1]-h-c-d[type=d1]-c-d[type=d1]-c-d[type=d1]-c-d[type=d1]-c-d[type=d1]-c-d[type=d1]-c-d[type=d1]-c-d[type=d1]-c-d[type=d1]-c-d[type=d1]-c-e[col=e1](e18-e10-e18/e6-e9-e6)-f-h-g[num=3](g4-g8)-h-b-g[num=3](g4-g9)-h-b-g[num=3](g4-g9)-i,辽圣宗,辽圣宗时期,1050-1100,密檐塔,8角形,13,33.11,2013年全国第七批重点文物保护单位,风水镇物,田园,寺庙遗址,八棱观(原为佛寺),八棱观塔为八角实心十三层密檐砖塔...南邻大凌河与辽代建州城址隔河相望。塔通体为砖砌，2013年维修前保持着辽代原貌。,True,True,True,True,True,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,True
十八里堡塔,observed_structured_record,辽宁省,朝阳市,朝阳县,中京道,榆州,,119.307161,41.225936,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e9-e6-e9-e6-e9/e18-e8-e10-e18)-f-i,辽太宗,辽太宗时期,1060s,密檐塔,8角形,7,20.22,2014年第九批省级文物保护单位,寺院标志,水域周边,单体,未知,十八里堡塔为八角空心七层密檐砖塔，建造年代为辽太宗时期，位于辽宁省朝阳市凌源市凌河乡十五里堡村西十八里堡屯内，坐落在辽代榆州城址西方...塔通体为砖筑，后经修复，西北方向塔身原构件保存相对完好。,True,True,True,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,True,True
